poli,test_start,test_end,n_test,model,mae,rmse,wape,smape,bias
POLIKLINIK ANAK,2026-03-02,2026-04-30,47,Prophet,6.2203273352831365,7.546549742441326,26.797010518634963,28.383434888251212,-1.5909968039191595
POLIKLINIK ANAK,2026-03-02,2026-04-30,47,Naive,6.808510638297872,8.325812208798023,29.330889092575617,31.180748479068534,-4.212765957446808
POLIKLINIK ANAK,2026-03-02,2026-04-30,47,Seasonal Naive 7,7.276595744680851,8.908518514750899,31.347387717690196,34.17539310598497,-2.851063829787234
POLIKLINIK ANAK,2026-03-02,2026-04-30,47,Moving Average 7,6.382978723404255,7.702174439635023,27.497708524289642,29.065833828504893,-2.7841945288753807
POLIKLINIK ANAK,2026-03-02,2026-04-30,47,Moving Average 28,6.224164133738601,7.18142891002567,26.81353934791148,28.231288384841395,-0.03419452887538131
POLIKLINIK MATA,2026-03-02,2026-04-30,46,Prophet,9.081294248456624,10.830275382765176,39.97507516067031,47.65203368097495,-5.683890590210299
POLIKLINIK MATA,2026-03-02,2026-04-30,46,Naive,13.021739130434783,14.925175696293072,57.32057416267943,73.72413476466689,-12.717391304347826
POLIKLINIK MATA,2026-03-02,2026-04-30,46,Seasonal Naive 7,6.782608695652174,8.449337509404279,29.856459330143544,31.854251184943934,-0.4782608695652174
POLIKLINIK MATA,2026-03-02,2026-04-30,46,Moving Average 7,6.630434782608695,8.271217774805647,29.1866028708134,31.435974167823932,-2.717391304347826
POLIKLINIK MATA,2026-03-02,2026-04-30,46,Moving Average 28,6.222049689440995,7.818833058666118,27.38892686261108,29.352302175769545,-0.3245341614906838
POLIKLINIK OBGYN,2026-03-02,2026-04-30,57,Prophet,8.29979480456013,10.42659933428547,23.536731535319774,46.15400727583211,-3.9494508661365875
POLIKLINIK OBGYN,2026-03-02,2026-04-30,57,Naive,31.649122807017545,35.07935865304228,89.75124378109453,147.66557209292546,-31.263157894736842
POLIKLINIK OBGYN,2026-03-02,2026-04-30,57,Seasonal Naive 7,7.684210526315789,10.957653737849014,21.791044776119403,28.114980684766284,2.9473684210526314
POLIKLINIK OBGYN,2026-03-02,2026-04-30,57,Moving Average 7,12.147869674185461,16.039547883659598,34.44918265813788,42.70794756331095,2.0225563909774427
POLIKLINIK OBGYN,2026-03-02,2026-04-30,57,Moving Average 28,12.446741854636592,15.91204524416922,35.29673063255153,44.04022866531213,0.12969924812030378
POLIKLINIK PENYAKIT DALAM,2026-03-02,2026-04-30,47,Prophet,16.806799256838666,21.219018970661022,24.090258160153013,26.308179408054027,-10.426545586901316
POLIKLINIK PENYAKIT DALAM,2026-03-02,2026-04-30,47,Naive,44.02127659574468,48.76539582313707,63.09850564196401,86.09887962227323,-43.765957446808514
POLIKLINIK PENYAKIT DALAM,2026-03-02,2026-04-30,47,Seasonal Naive 7,21.04255319148936,27.58931337974828,30.16163464470875,34.1589308334502,-5.638297872340425
POLIKLINIK PENYAKIT DALAM,2026-03-02,2026-04-30,47,Moving Average 7,18.17629179331307,23.016409408090055,26.05323922798763,27.63190492230817,-8.194528875379943
POLIKLINIK PENYAKIT DALAM,2026-03-02,2026-04-30,47,Moving Average 28,16.83434650455927,21.554339634965288,24.12974338866379,25.48680355440561,-1.4088145896656494
